"rgn_id","habitat","year","km2"
1,"Playas",2017,372.290680597147
1,"Marismas",2017,348.36070452099
1,"Tepu",2017,629.749705704495
1,"Macrocystis",2017,6636067.9084333
2,"Playas",2017,1150.7
2,"Marismas",2017,6430.10572277228
2,"Tepu",2017,152501.838424242
2,"Macrocystis",2017,192962235.815176
3,"Playas",2017,100
3,"Marismas",2017,316365.440312028
3,"Tepu",2017,NA
3,"Macrocystis",2017,985437881.62596
4,"Playas",2017,436.392871287129
4,"Marismas",2017,554.41308056872
4,"Tepu",2017,248.83137254902
4,"Macrocystis",2017,3777078.49602441
5,"Playas",2017,57.5780821917808
5,"Marismas",2017,253.058792725173
5,"Tepu",2017,60.247794890511
5,"Macrocystis",2017,16167860.6835491
6,"Playas",2017,1942.60214535068
6,"Marismas",2017,2603.86482312803
6,"Tepu",2017,7907.59888511356
6,"Macrocystis",2017,17857765.4755253
7,"Playas",2017,857.032376460939
7,"Marismas",2017,240.509880608083
7,"Tepu",2017,518.751345815553
7,"Macrocystis",2017,2303878.01041008
8,"Playas",2017,562.8
8,"Marismas",2017,1810.8981980198
8,"Tepu",2017,20026.9834949495
8,"Macrocystis",2017,133206609.86892
9,"Playas",2017,273.6
9,"Marismas",2017,2.7
9,"Tepu",2017,0.05
9,"Macrocystis",2017,917474.3676
10,"Playas",2017,68.5
10,"Marismas",2017,NA
10,"Tepu",2017,NA
10,"Macrocystis",2017,1787905.9709866
11,"Playas",2017,21.7556818181818
11,"Marismas",2017,66.4206759801712
11,"Tepu",2017,597.49193843594
11,"Macrocystis",2017,3091572.90364645
12,"Playas",2017,110
12,"Marismas",2017,3.2
12,"Tepu",2017,388.083576230248
12,"Macrocystis",2017,443801.55456
13,"Playas",2017,NA
13,"Marismas",2017,22404.5635643564
13,"Tepu",2017,3516.8269010101
13,"Macrocystis",2017,24972372.08928
14,"Playas",2017,604.670533333334
14,"Marismas",2017,591.417808523232
14,"Tepu",2017,185.661558610272
14,"Macrocystis",2017,4331215.72320889
15,"Playas",2017,78.08
15,"Marismas",2017,355.87
15,"Tepu",2017,NA
15,"Macrocystis",2017,1679191.45884
16,"Playas",2017,173.858722928317
16,"Marismas",2017,574.696943231441
16,"Tepu",2017,481.9
16,"Macrocystis",2017,5871835.95264
17,"Playas",2017,691.258802228412
17,"Marismas",2017,1751.79612446223
17,"Tepu",2017,1364.29152894737
17,"Macrocystis",2017,958586749.833009
18,"Playas",2017,NA
18,"Marismas",2017,723171.721897195
18,"Tepu",2017,1308325.39702343
18,"Macrocystis",2017,14372342.65152
19,"Playas",2017,683.97
19,"Marismas",2017,97.7
19,"Tepu",2017,NA
19,"Macrocystis",2017,3794147.78658441
20,"Playas",2017,683.97
20,"Marismas",2017,2230.83730901077
20,"Tepu",2017,NA
20,"Macrocystis",2017,3794147.78658441
21,"Playas",2017,306.72656626506
21,"Marismas",2017,930.178106725146
21,"Tepu",2017,171.688673469388
21,"Macrocystis",2017,8534.64528
22,"Playas",2017,NA
22,"Marismas",2017,NA
22,"Tepu",2017,NA
22,"Macrocystis",2017,750120.6419658
23,"Playas",2017,198.620679816514
23,"Marismas",2017,2916.4202517465
23,"Tepu",2017,2658
23,"Macrocystis",2017,1081766.28924
24,"Playas",2017,271.84
24,"Marismas",2017,64.04
24,"Tepu",2017,64.08
24,"Macrocystis",2017,2588131.18116
25,"Playas",2017,9.04
25,"Marismas",2017,172.545675105485
25,"Tepu",2017,213
25,"Macrocystis",2017,6772271.96373997
26,"Playas",2017,127.49725060241
26,"Marismas",2017,113.314486160714
26,"Tepu",2017,302.674686248132
26,"Macrocystis",2017,43765056.838381
27,"Playas",2017,932.145043478261
27,"Marismas",2017,894.145940390545
27,"Tepu",2017,11231.9718596491
27,"Macrocystis",2017,3758175.20218229
28,"Playas",2017,NA
28,"Marismas",2017,216.597388942308
28,"Tepu",2017,373.692491221374
28,"Macrocystis",2017,3568242.43976639
29,"Playas",2017,68.47
29,"Marismas",2017,68.46
29,"Tepu",2017,202
29,"Macrocystis",2017,1398544.08384883
30,"Playas",2017,NA
30,"Marismas",2017,NA
